name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
Oororo Yogi,Ramana Gogula,2H6aGuQCchI1Qa4eUb51Ua,0.786,0.145,0.0908,0.8153103489376918,0.0336,energetic
Bang Bang Bang,Yuvan Shankar Raja,1AisYkksS1odFefyvJSpP5,0.865,0.0938,0.23,0.8141482165737954,0.0565,energetic
Nee Kougililo,Sathyam,6OF5C7Z8qFapLnYJLVR1fX,0.428,0.96,0.395,0.6614917011829913,0.0397,Chill
Priya Priyathama,Ilaiyaraaja,3QyicuTmZEWO1hU3c3QbW6,0.773,0.825,0.124,0.8871241693733425,0.0343,Chill
,Various Artists,1OMMcfTonIktqkjyrU5S05,0.84,0.0169,0.129,0.7630143925623529,0.24,energetic
Ivala Edo Anandam Ento,Uday Kiran UK,3xeD7DQ5cEzFSrvHOfSZZU,0.524,0.0422,0.143,0.7141750350129623,0.0795,energetic
Manasu Parimalinchene,Pendyala Nageswara Rao,5zoK5Rd74xTt2AFdtLjig8,0.422,0.639,0.164,0.8122709258321166,0.0609,Chill
Nee Navvu,M. M. Keeravani,7CsbXGvx9d27jAc6jSF4RG,0.59,0.765,0.357,0.623737298489228,0.0363,Chill
Hey Jana,Mani Sharma,5WtJORFXDoXKfglFUA6rPe,0.816,0.0315,0.281,0.79898089931166,0.151,energetic
"Ananda Paramanda (From ""Sri Manjunatha"")",S. P. Balasubrahmanyam,0ly68f2ueK1cDnvE0Hzw91,0.672,0.685,0.0638,0.665186686134867,0.0469,romantic
Rangola Hola Hola,Harris Jayaraj,048NzPL7Xs7MTvTWtWGW4E,0.847,0.0988,0.189,0.7543728954974821,0.0912,energetic
Paluke Bangarama,K. Chakravarthy,6D13sznTbnfycyOWIG0D7F,0.427,0.861,0.248,0.8183497720432671,0.179,Chill
Chukkalanti (Sad),Ilaiyaraaja,3PP2gN32q3ulfPDsYCApbN,0.636,0.59,0.12,0.8293751303674126,0.0485,romantic
Aakasa Ganga,Kamalakar,15VhrOnyIebxei4gzZbiBA,0.536,0.655,0.15,0.6790130814386603,0.0328,Chill
Dandaalayyaa,M. M. Keeravani,1qNjwr1lWSNmTPMbiQ8sYt,0.618,0.827,0.404,0.7384308233260825,0.0391,Chill
Pattu Pattu,Devi Sri Prasad,1wo0bG73zjXNDNDAPQXzqI,0.686,0.449,0.131,0.703090080157335,0.296,romantic
Kalalonaina,S.A. Rajkumar,5AgawCwpT2z2gFFQm7qV7a,0.646,0.423,0.178,0.7844095473643434,0.0417,romantic
Tillu Anna DJ Pedithe,Ram Miriyala,4ZNIkO2j6K2c0Nm8zWXmdn,0.702,0.149,0.11,0.8051789385857744,0.21,energetic
Atu Nuvve,Devi Sri Prasad,3geKpJNdURFqbA8OqaR7vr,0.661,0.604,0.0881,0.8316397985637236,0.0939,romantic
Khabaddarani,Mani Sharma,1GZQaWpJ8qu74dnNtTn6Ly,0.715,0.00407,0.127,0.8376888465091332,0.117,energetic
Andagaada,Harris Jayaraj,35EifGHoMZxyYVGkNRmyjJ,0.418,0.0583,0.269,0.73324592508716,0.152,energetic
Podagantimaiya,Unnikrishnan,17sXUnSPygh0kzcemnyCWa,0.444,0.71,0.339,0.7639381388003219,0.0683,Chill
Kshaminchu,Chakri,00LWYfA0tgv4uex2ECHDio,0.72,0.354,0.0926,0.8516940314073721,0.127,romantic
Narayanathe,Unnikrishnan,2CH842EL341kcvyR915Fkf,0.567,0.766,0.319,0.7552668434697101,0.0344,Chill
Chalore Chalore(Telugu),Devi Sri Prasad,71fCqjqfJz23Bjodiqt4GY,0.811,0.203,0.0487,0.6990971125480497,0.078,energetic
Theta Theta Telugula,K. V. Mahadevan,3C6KoLJdLxJ2IJXsG1K85N,0.411,0.907,0.317,0.6839595935516554,0.121,Chill
Muddhabanti Poovulo,K. V. Mahadevan,3bLucspbTsAGoo5KiECNSd,0.524,0.501,0.678,0.6792514675645878,0.0566,cheerful
Marachipo Nesthamaa,K. Chakravarthy,7gdAmG1kZQfdWJhknzjT1w,0.422,0.944,0.164,0.7390565869066421,0.0314,Chill
Yahoon Yahoon,Devi Sri Prasad,7ptm0VcwKYx4Jbn1sEjxV8,0.684,0.161,0.193,0.8700199648380464,0.133,energetic
Yamunatheeram,K.M.Radha Krishnan,2g5t70UUP6nPpyZdyQQJz2,0.68,0.521,0.0772,0.8007389969903752,0.0713,romantic
Bapu Gari Bommo,Devi Sri Prasad,1e3pqyiPgPzqnDm8m91x5F,0.9,0.221,0.0727,0.8435591048600972,0.0756,energetic
Ulikipadaku Ulikipadaku,Vishal Chandrashekhar,5s3CJOPeaQD56xafwsDOO9,0.667,0.00357,0.178,0.8611400816472482,0.0584,energetic
"Kodakaa Koteswar Rao - From ""Agnyaathavaasi""",Anirudh Ravichander,0A9tAPF8xAi0k2Q7lNiACg,0.764,0.499,0.217,0.8190947286867905,0.288,romantic
