,name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
0,Oororo Yogi,Ramana Gogula,https://open.spotify.com/embed/track/2H6aGuQCchI1Qa4eUb51Ua?utm_source=generator,0.786,0.145,0.0908,0.8153103489376918,0.0336,energetic
1,Bang Bang Bang,Yuvan Shankar Raja,https://open.spotify.com/embed/track/1AisYkksS1odFefyvJSpP5?utm_source=generator,0.865,0.0938,0.23,0.8141482165737954,0.0565,energetic
2,Nee Kougililo,Sathyam,https://open.spotify.com/embed/track/6OF5C7Z8qFapLnYJLVR1fX?utm_source=generator,0.428,0.96,0.395,0.6614917011829913,0.0397,Chill
3,Priya Priyathama,Ilaiyaraaja,https://open.spotify.com/embed/track/3QyicuTmZEWO1hU3c3QbW6?utm_source=generator,0.773,0.825,0.124,0.8871241693733425,0.0343,Chill
4,,Various Artists,https://open.spotify.com/embed/track/1OMMcfTonIktqkjyrU5S05?utm_source=generator,0.84,0.0169,0.129,0.7630143925623529,0.24,energetic
5,Ivala Edo Anandam Ento,Uday Kiran UK,https://open.spotify.com/embed/track/3xeD7DQ5cEzFSrvHOfSZZU?utm_source=generator,0.524,0.0422,0.143,0.7141750350129623,0.0795,energetic
6,Manasu Parimalinchene,Pendyala Nageswara Rao,https://open.spotify.com/embed/track/5zoK5Rd74xTt2AFdtLjig8?utm_source=generator,0.422,0.639,0.164,0.8122709258321166,0.0609,Chill
7,Nee Navvu,M. M. Keeravani,https://open.spotify.com/embed/track/7CsbXGvx9d27jAc6jSF4RG?utm_source=generator,0.59,0.765,0.357,0.623737298489228,0.0363,Chill
8,Hey Jana,Mani Sharma,https://open.spotify.com/embed/track/5WtJORFXDoXKfglFUA6rPe?utm_source=generator,0.816,0.0315,0.281,0.79898089931166,0.151,energetic
9,"Ananda Paramanda (From ""Sri Manjunatha"")",S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/0ly68f2ueK1cDnvE0Hzw91?utm_source=generator,0.672,0.685,0.0638,0.665186686134867,0.0469,romantic
10,Rangola Hola Hola,Harris Jayaraj,https://open.spotify.com/embed/track/048NzPL7Xs7MTvTWtWGW4E?utm_source=generator,0.847,0.0988,0.189,0.7543728954974821,0.0912,energetic
11,Paluke Bangarama,K. Chakravarthy,https://open.spotify.com/embed/track/6D13sznTbnfycyOWIG0D7F?utm_source=generator,0.427,0.861,0.248,0.8183497720432671,0.179,Chill
12,Chukkalanti (Sad),Ilaiyaraaja,https://open.spotify.com/embed/track/3PP2gN32q3ulfPDsYCApbN?utm_source=generator,0.636,0.59,0.12,0.8293751303674126,0.0485,romantic
13,Aakasa Ganga,Kamalakar,https://open.spotify.com/embed/track/15VhrOnyIebxei4gzZbiBA?utm_source=generator,0.536,0.655,0.15,0.6790130814386603,0.0328,Chill
14,Dandaalayyaa,M. M. Keeravani,https://open.spotify.com/embed/track/1qNjwr1lWSNmTPMbiQ8sYt?utm_source=generator,0.618,0.827,0.404,0.7384308233260825,0.0391,Chill
15,Pattu Pattu,Devi Sri Prasad,https://open.spotify.com/embed/track/1wo0bG73zjXNDNDAPQXzqI?utm_source=generator,0.686,0.449,0.131,0.703090080157335,0.296,romantic
16,Kalalonaina,S.A. Rajkumar,https://open.spotify.com/embed/track/5AgawCwpT2z2gFFQm7qV7a?utm_source=generator,0.646,0.423,0.178,0.7844095473643434,0.0417,romantic
17,Tillu Anna DJ Pedithe,Ram Miriyala,https://open.spotify.com/embed/track/4ZNIkO2j6K2c0Nm8zWXmdn?utm_source=generator,0.702,0.149,0.11,0.8051789385857744,0.21,energetic
18,Atu Nuvve,Devi Sri Prasad,https://open.spotify.com/embed/track/3geKpJNdURFqbA8OqaR7vr?utm_source=generator,0.661,0.604,0.0881,0.8316397985637236,0.0939,romantic
19,Khabaddarani,Mani Sharma,https://open.spotify.com/embed/track/1GZQaWpJ8qu74dnNtTn6Ly?utm_source=generator,0.715,0.00407,0.127,0.8376888465091332,0.117,energetic
20,Andagaada,Harris Jayaraj,https://open.spotify.com/embed/track/35EifGHoMZxyYVGkNRmyjJ?utm_source=generator,0.418,0.0583,0.269,0.73324592508716,0.152,energetic
21,Podagantimaiya,Unnikrishnan,https://open.spotify.com/embed/track/17sXUnSPygh0kzcemnyCWa?utm_source=generator,0.444,0.71,0.339,0.7639381388003219,0.0683,Chill
22,Kshaminchu,Chakri,https://open.spotify.com/embed/track/00LWYfA0tgv4uex2ECHDio?utm_source=generator,0.72,0.354,0.0926,0.8516940314073721,0.127,romantic
23,Narayanathe,Unnikrishnan,https://open.spotify.com/embed/track/2CH842EL341kcvyR915Fkf?utm_source=generator,0.567,0.766,0.319,0.7552668434697101,0.0344,Chill
24,Chalore Chalore(Telugu),Devi Sri Prasad,https://open.spotify.com/embed/track/71fCqjqfJz23Bjodiqt4GY?utm_source=generator,0.811,0.203,0.0487,0.6990971125480497,0.078,energetic
25,Theta Theta Telugula,K. V. Mahadevan,https://open.spotify.com/embed/track/3C6KoLJdLxJ2IJXsG1K85N?utm_source=generator,0.411,0.907,0.317,0.6839595935516554,0.121,Chill
26,Muddhabanti Poovulo,K. V. Mahadevan,https://open.spotify.com/embed/track/3bLucspbTsAGoo5KiECNSd?utm_source=generator,0.524,0.501,0.678,0.6792514675645878,0.0566,cheerful
27,Marachipo Nesthamaa,K. Chakravarthy,https://open.spotify.com/embed/track/7gdAmG1kZQfdWJhknzjT1w?utm_source=generator,0.422,0.944,0.164,0.7390565869066421,0.0314,Chill
28,Yahoon Yahoon,Devi Sri Prasad,https://open.spotify.com/embed/track/7ptm0VcwKYx4Jbn1sEjxV8?utm_source=generator,0.684,0.161,0.193,0.8700199648380464,0.133,energetic
29,Yamunatheeram,K.M.Radha Krishnan,https://open.spotify.com/embed/track/2g5t70UUP6nPpyZdyQQJz2?utm_source=generator,0.68,0.521,0.0772,0.8007389969903752,0.0713,romantic
30,Bapu Gari Bommo,Devi Sri Prasad,https://open.spotify.com/embed/track/1e3pqyiPgPzqnDm8m91x5F?utm_source=generator,0.9,0.221,0.0727,0.8435591048600972,0.0756,energetic
31,Ulikipadaku Ulikipadaku,Vishal Chandrashekhar,https://open.spotify.com/embed/track/5s3CJOPeaQD56xafwsDOO9?utm_source=generator,0.667,0.00357,0.178,0.8611400816472482,0.0584,energetic
32,"Kodakaa Koteswar Rao - From ""Agnyaathavaasi""",Anirudh Ravichander,https://open.spotify.com/embed/track/0A9tAPF8xAi0k2Q7lNiACg?utm_source=generator,0.764,0.499,0.217,0.8190947286867905,0.288,romantic
33,Sitharangi,Sunny Austin,https://open.spotify.com/embed/track/1Ur54HzTsoPVweL7Ybalq1?utm_source=generator,0.833,0.623,0.036,0.7783604994189338,0.16,romantic
34,Akalesthey,Devi Sri Prasad,https://open.spotify.com/embed/track/6yVeYqlH4yUGgMFoBa1qlA?utm_source=generator,0.889,0.0371,0.0568,0.6915581513155935,0.0595,energetic
35,Yemani Pogadudume,S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/39CXE5xdb4ZbFRTTei3Tuk?utm_source=generator,0.574,0.422,0.323,0.752167823832653,0.0488,romantic
36,Nuv Nakem Kavu,Naresh Penta,https://open.spotify.com/embed/track/1oEptnZ4BuzUnumXDAFYeB?utm_source=generator,0.736,0.809,0.12,0.7302363002473257,0.0351,Chill
37,O Pilla (TELUGU),Devi Sri Prasad,https://open.spotify.com/embed/track/1hmHzSfyVerXSYiY1Qq4Vx?utm_source=generator,0.842,0.174,0.065,0.7675437289549749,0.19,energetic
38,Aa Devudela Vuntaadani,J. V. Raghavulu,https://open.spotify.com/embed/track/2yqb9e1mJO6RSoxBFPcVlu?utm_source=generator,0.64,0.96,0.138,0.6670937751422867,0.0618,Chill
39,Pranavalaya,Mickey J. Meyer,https://open.spotify.com/embed/track/1khlL3DxRKVWhoYAQvjNmi?utm_source=generator,0.517,0.426,0.113,0.733663100807533,0.102,romantic
40,Selavanuko,Anup Rubens,https://open.spotify.com/embed/track/6ciYv5q2QoZo1lBTdDfzRT?utm_source=generator,0.74,0.842,0.106,0.6279090556929587,0.0386,Chill
41,Rama Rama,Devi Sri Prasad,https://open.spotify.com/embed/track/5XPhao7RM49t5OKNHE6ZVJ?utm_source=generator,0.647,0.0688,0.0996,0.8068178432015257,0.105,energetic
42,Prema Yatralaku,Ghantasala,https://open.spotify.com/embed/track/1M8XiKte4skpdbNYHwjLpB?utm_source=generator,0.641,0.981,0.337,0.5366369677284784,0.0975,Chill
43,Elegeylaga,Mani Sharma,https://open.spotify.com/embed/track/6mSZiIekGnSwCP3brOS9Iw?utm_source=generator,0.845,0.065,0.0733,0.7371494978992224,0.0481,energetic
44,Bangala Kathamulo,Ramana Gogula,https://open.spotify.com/embed/track/0iKtQHMwA3k3NeKFWo17eN?utm_source=generator,0.854,0.394,0.134,0.7164695014750142,0.0863,romantic
45,Yuvakula,Thaman S,https://open.spotify.com/embed/track/6UGkpZUshokRYSUuLeb2wT?utm_source=generator,0.828,0.441,0.117,0.7468041359992849,0.2,romantic
46,Adugaduguna Neetho Rana,Shravan Goud Writes,https://open.spotify.com/embed/track/21jacqxMqPfeoV59jySKz3?utm_source=generator,0.57,0.312,0.143,0.6184630054530826,0.0409,romantic
47,Ammo Vaadevado Gaani,Various Artists,https://open.spotify.com/embed/track/0sJwJGM7xmhGRrUsjPISj3?utm_source=generator,0.758,0.417,0.243,0.6700736017163802,0.174,romantic
48,F. T. V. Figaralle,Devi Sri Prasad,https://open.spotify.com/embed/track/2Ni6m3h2LXGmywo5IFsNi9?utm_source=generator,0.873,0.0888,0.306,0.7222503650287554,0.11,energetic
